feature_set,metric,model_a,model_b,difference,low,high,t,p_value,p_holm
main,pr_auc,random_forest,xgboost,-0.0008463705766155905,-0.043179003240880365,0.04148626208764919,-0.05551040170982484,0.9583939036816488,1.0
main,pr_auc,random_forest,xgboost_depth_1_12,0.0017158316204921643,-0.05134753780186421,0.054779201042848544,0.0897777950386234,0.9327794796651285,1.0
main,pr_auc,xgboost,xgboost_depth_1_12,0.0025622021971077546,-0.021560785384114812,0.02668518977833032,0.29489770803614224,0.7827444628217854,1.0
no_consequence,pr_auc,dummy,lr_penalized,-0.15013560651997215,-0.2700472375236294,-0.03022397551631488,-3.4762538575225035,0.025438466707308687,0.30526160048770423
no_consequence,pr_auc,dummy,lr_scored,-0.14318516800619116,-0.2894223760406408,0.0030520400282585125,-2.718499376397159,0.05306904337830932,0.5837594771614025
no_consequence,pr_auc,dummy,random_forest,-0.15673861752558121,-0.2726917960604638,-0.040785438990698614,-3.7530335340781837,0.019894654960339757,0.2586305144844168
no_consequence,pr_auc,dummy,xgboost,-0.14276166955818426,-0.2317240357272653,-0.05379930338910323,-4.455478824622858,0.011199271122626498,0.15678979571677096
no_consequence,pr_auc,dummy,xgboost_depth_1_12,-0.1424012514351977,-0.2159380467343084,-0.06886445613608698,-5.376482017106287,0.005782207062133946,0.08673310593200918
no_consequence,pr_auc,lr_penalized,lr_scored,0.006950438513780998,-0.04533332129238816,0.05923419831995016,0.3690918759880098,0.7307664371791693,1.0
no_consequence,pr_auc,lr_penalized,random_forest,-0.0066030110056090555,-0.07932122993825674,0.06611520792703862,-0.25210872674247603,0.8133810898069633,1.0
