feature_set,model,feature,mean_abs_shap
no_consequence,random_forest,FINS,0.002055682531147179
no_consequence,random_forest,PCT,0.0020520668332741424
no_consequence,random_forest,HypertenHis,0.002016658776765408
no_consequence,random_forest,NEUTcount,0.0019971535432081536
no_consequence,random_forest,TBIL,0.001742820473990725
no_consequence,random_forest,PLT,0.0017370007230465118
no_consequence,random_forest,LYMPHcount,0.0017349228040374122
no_consequence,random_forest,PDW,0.0017303819868020672
no_consequence,random_forest,LYMPH,0.0017002968839139399
no_consequence,random_forest,HbA1c,0.001664734208426182
no_consequence,random_forest,MONO,0.0016378604979688071
no_consequence,random_forest,Fat,0.001602796042077021
no_consequence,random_forest,HDL,0.0015609160557441969
no_consequence,random_forest,MCHC,0.00150412502759218
no_consequence,random_forest,DBIL,0.0014715046529607883
no_consequence,random_forest,AST,0.0014692569252303042
no_consequence,random_forest,INS2h,0.0014638752765147017
no_consequence,random_forest,MONOcount,0.0013827392245217695
no_consequence,random_forest,EOcount,0.0013504627733552437
no_consequence,random_forest,NEUT,0.0013431929850207611
no_consequence,random_forest,BMI,0.0013326846103025858
