feature_set,model,feature,per,coefficient,odds_ratio,low,high,p_value
main,lr_penalized,HCVAb,unità,0.0,1.0,,,
no_consequence,lr_scored,DM,unità,0.9303223313428829,2.5353262610433496,1.8578958363784746,3.4597629878248024,4.482607993538348e-09
no_consequence,lr_scored,Age,1 DS,0.40229826138845104,1.4952572436753102,1.3482176968977675,1.6583332424044137,2.592873569065305e-14
no_consequence,lr_scored,Bpsys,1 DS,0.29116823576158263,1.337989662726253,1.2181622136915662,1.469604226301825,1.1840686332516159e-09
no_consequence,lr_scored,Gender,unità,0.04215138058554641,1.04305236467775,0.8458839805235184,1.2861790275145155,0.6933606276255297
no_consequence,lr_penalized,DRyd,unità,1.259995082549715,3.525404151323109,,,
no_consequence,lr_penalized,HypertenHis,unità,0.5548915196264558,1.7417520286145578,,,
no_consequence,lr_penalized,Gender,unità,0.4818927634933052,1.6191361454877247,,,
no_consequence,lr_penalized,MONO,1 DS,-0.40991109098936723,0.6637092572465582,,,
no_consequence,lr_penalized,WBC,1 DS,0.3922632361061489,1.4803273357221254,,,
no_consequence,lr_penalized,FCP,1 DS,0.36569242311146044,1.4415117987476116,,,
no_consequence,lr_penalized,BASOcount,1 DS,-0.3512349536762554,0.7038183697141953,,,
no_consequence,lr_penalized,Fat,1 DS,-0.3488788207692429,0.7054786144462106,,,
no_consequence,lr_penalized,NEUTcount,1 DS,-0.3199542940719773,0.726182227147799,,,
no_consequence,lr_penalized,BASO,1 DS,0.30500647878810483,1.3566337923206282,,,
no_consequence,lr_penalized,Age,1 DS,0.2949287730437547,1.3430306952908413,,,
no_consequence,lr_penalized,MONOcount,1 DS,0.28264441854608646,1.326633351722653,,,
no_consequence,lr_penalized,Bpsys,1 DS,0.2760925689024764,1.3179698614042017,,,
no_consequence,lr_penalized,TFDPN,unità,-0.2726219874600378,0.7613805446311839,,,
no_consequence,lr_penalized,DM,unità,0.2180393999410235,1.243636065841441,,,
no_consequence,lr_penalized,BMI,1 DS,0.2168774645572446,1.2421918802796308,,,
no_consequence,lr_penalized,FINS,1 DS,-0.21446367543927428,0.8069741241800944,,,
no_consequence,lr_penalized,AST,1 DS,0.20939085079076558,1.232926794781595,,,
no_consequence,lr_penalized,DMfamilyHistory,unità,-0.20732542203440765,0.8127551185235767,,,
no_consequence,lr_penalized,LDL,1 DS,0.20430359606564047,1.2266705092709222,,,
no_consequence,lr_penalized,ALP,1 DS,0.19372363531369768,1.2137607959783652,,,
no_consequence,lr_penalized,TBIL,1 DS,-0.18577160477191457,0.8304632471660344,,,
no_consequence,lr_penalized,MADPN,unità,0.17826439953020234,1.1951412742554837,,,
no_consequence,lr_penalized,DBIL,1 DS,0.1569343449235741,1.169918800271095,,,
no_consequence,lr_penalized,hip,1 DS,-0.14839465121655107,0.8620908226061509,,,
no_consequence,lr_penalized,PLT,1 DS,-0.13731822444695407,0.8716927880352718,,,
no_consequence,lr_penalized,ALT,1 DS,-0.13395585872864108,0.8746286709727643,,,
no_consequence,lr_penalized,RDWCV,1 DS,0.13215382356672128,1.1412838621198877,,,
no_consequence,lr_penalized,AG,1 DS,-0.1315248342267233,0.8767575012728613,,,
no_consequence,lr_penalized,ISIGutt,1 DS,0.12750993443830277,1.1359961536688055,,,
no_consequence,lr_penalized,LYMPHcount,1 DS,-0.12067713028791949,0.8863200793095126,,,
no_consequence,lr_penalized,LYMPH,1 DS,-0.10347142097704776,0.901701792129835,,,
no_consequence,lr_penalized,Smoking,unità,-0.1026703428690726,0.9024244150955074,,,
no_consequence,lr_penalized,PG2h,1 DS,0.10192452825492344,1.1072998987185931,,,
