technique,model,level,band,n
smote_nc_level,random_forest,moderato,3,9
smote_nc_level,random_forest,moderato,4,6
smote_nc_level,random_forest,alto,1,34
smote_nc_level,random_forest,alto,2,13
smote_nc_level,random_forest,alto,3,2
smote_nc_level,random_forest,alto,4,1
smote_nc_level,random_forest,molto alto,1,11
smote_nc_level,random_forest,molto alto,2,7
smote_nc_level,random_forest,molto alto,3,2
smote_nc_level,random_forest,molto alto,4,1
smote_nc_level,xgboost,basso,1,3609
smote_nc_level,xgboost,basso,2,273
smote_nc_level,xgboost,basso,3,32
smote_nc_level,xgboost,basso,4,11
smote_nc_level,xgboost,moderato,1,275
smote_nc_level,xgboost,moderato,2,64
smote_nc_level,xgboost,moderato,3,10
smote_nc_level,xgboost,moderato,4,5
smote_nc_level,xgboost,alto,1,33
smote_nc_level,xgboost,alto,2,9
smote_nc_level,xgboost,alto,3,6
smote_nc_level,xgboost,alto,4,2
smote_nc_level,xgboost,molto alto,1,8
smote_nc_level,xgboost,molto alto,2,8
smote_nc_level,xgboost,molto alto,3,2
smote_nc_level,xgboost,molto alto,4,3
ctgan,lr_scored,basso,1,3579
ctgan,lr_scored,basso,2,290
ctgan,lr_scored,basso,3,41
ctgan,lr_scored,basso,4,15
ctgan,lr_scored,moderato,1,293
ctgan,lr_scored,moderato,2,48
ctgan,lr_scored,moderato,3,9
ctgan,lr_scored,moderato,4,4
ctgan,lr_scored,alto,1,39
ctgan,lr_scored,alto,2,10
ctgan,lr_scored,alto,3,0
ctgan,lr_scored,alto,4,1
ctgan,lr_scored,molto alto,1,14
ctgan,lr_scored,molto alto,2,6
ctgan,lr_scored,molto alto,3,0
ctgan,lr_scored,molto alto,4,1
ctgan,lr_penalized,basso,1,3579
ctgan,lr_penalized,basso,2,295
ctgan,lr_penalized,basso,3,37
ctgan,lr_penalized,basso,4,14
ctgan,lr_penalized,moderato,1,293
ctgan,lr_penalized,moderato,2,45
ctgan,lr_penalized,moderato,3,11
ctgan,lr_penalized,moderato,4,5
ctgan,lr_penalized,alto,1,39
ctgan,lr_penalized,alto,2,8
ctgan,lr_penalized,alto,3,1
ctgan,lr_penalized,alto,4,2
ctgan,lr_penalized,molto alto,1,14
ctgan,lr_penalized,molto alto,2,6
ctgan,lr_penalized,molto alto,3,1
ctgan,lr_penalized,molto alto,4,0
ctgan,random_forest,basso,1,3573
ctgan,random_forest,basso,2,295
ctgan,random_forest,basso,3,40
ctgan,random_forest,basso,4,17
ctgan,random_forest,moderato,1,299
ctgan,random_forest,moderato,2,47
ctgan,random_forest,moderato,3,5
ctgan,random_forest,moderato,4,3
ctgan,random_forest,alto,1,39
ctgan,random_forest,alto,2,6
ctgan,random_forest,alto,3,4
ctgan,random_forest,alto,4,1
ctgan,random_forest,molto alto,1,14
ctgan,random_forest,molto alto,2,6
ctgan,random_forest,molto alto,3,1
ctgan,random_forest,molto alto,4,0
ctgan,xgboost,basso,1,3613
ctgan,xgboost,basso,2,265
