technique,model,probabilities,intercept,slope,brier,mean_probability,prevalence
smote_nc,dummy,ricalibrata,7.530407366500059e-16,,0.08815563482626504,0.0977011494252873,0.09770114942528736
smote_nc,lr_scored,grezza,-2.236046672220029,0.9474700045220327,0.22503543974657267,0.46206567352752337,0.09770114942528736
smote_nc,lr_scored,ricalibrata,-0.00036913221738605706,1.048745219308155,0.08419848738922259,0.09773244371091643,0.09770114942528736
smote_nc,lr_penalized,grezza,-2.169396601789285,1.0716894200104832,0.21541311047120285,0.4522854128035082,0.09770114942528736
smote_nc,lr_penalized,ricalibrata,-0.004076273271810273,0.949255406926905,0.08302304367962993,0.09803885874582274,0.09770114942528736
smote_nc,random_forest,grezza,-1.1795386155165342,0.6853426759230223,0.11073558310961637,0.23619113340225592,0.09770114942528736
smote_nc,random_forest,ricalibrata,0.024837367935773437,0.898843545453737,0.08474817870375004,0.09565051876135536,0.09770114942528736
smote_nc,xgboost,grezza,-0.06414639496480609,0.4550166287315741,0.08861314240510562,0.10240248550343771,0.09770114942528736
smote_nc,xgboost,ricalibrata,0.028789935561402354,0.9647716583177836,0.08383742376305946,0.09532570429247703,0.09770114942528736
smote_nc_level,dummy,grezza,-2.2230324612920933,,0.25,0.5,0.09770114942528736
smote_nc_level,dummy,ricalibrata,7.530407366500059e-16,,0.08815563482626504,0.0977011494252873,0.09770114942528736
smote_nc_level,lr_scored,grezza,-2.2359894083443037,0.9284125389771694,0.2255168333074948,0.46210934155296424,0.09770114942528736
smote_nc_level,lr_scored,ricalibrata,0.0008468274483210157,1.0508256780083933,0.08439185874817019,0.09762926334389183,0.09770114942528736
smote_nc_level,lr_penalized,grezza,-2.1762677999798,1.095472192519887,0.21610947405668354,0.4545789296658551,0.09770114942528736
smote_nc_level,lr_penalized,ricalibrata,0.0005094146398653305,0.9165690499755692,0.08341833969745993,0.09765911173261113,0.09770114942528736
smote_nc_level,random_forest,grezza,-1.0672915697324512,0.64953329059884,0.10595181229446117,0.217959952290363,0.09770114942528736
