technique,model,auc,auc_low,auc_high,pr_auc,pr_auc_low,pr_auc_high,prevalence,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high,auc_folds_mean,pr_auc_folds_mean
undersampling,random_forest,0.7008647433495692,0.6735457988892336,0.7281836878099047,0.22300392924535034,0.18593521873942936,0.2650565838332632,0.09770114942528736,0.3747977709855539,0.11436249626754255,0.10402290297404991,0.12558576426411797,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2443312101910828,0.23114283447768455,0.2580195506590183,0.7698850574712643,0.7571421584283431,0.78215170934515,0.7046744098913451,0.23833703918668453
undersampling,xgboost,0.6811135256650431,0.6534046837661667,0.7088223675639196,0.2051094696004461,0.16936769894127254,0.24615858999054996,0.09770114942528736,0.2884023487567901,0.11470500149745433,0.10433616935981949,0.12595936463546695,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.24687898089171975,0.23364108460188004,0.2606118597262857,0.7675862068965518,0.7548018605207402,0.7798983627231663,0.6828639940052454,0.21383515686222787
oversampling,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
oversampling,lr_scored,0.674129636568003,0.6451210428732783,0.7031382302627276,0.21915042462535383,0.18235842336723723,0.26099597866554447,0.09770114942528736,0.3295180388278747,0.10846785613140754,0.09863314810646384,0.11915355259539204,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.19796178343949045,0.1857940059976513,0.21072020185442766,0.8117241379310345,0.7998336736107186,0.8230645246012549,0.6784278756088422,0.23982544128972147
oversampling,lr_penalized,0.6879754215061822,0.6600815835248934,0.7158692594874709,0.22860440956599004,0.1911420611479935,0.27094956751137605,0.09770114942528736,0.3282542776097698,0.11228378774552918,0.10212187824357394,0.12331800472146323,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22853503184713375,0.21566821149272905,0.24193270665690417,0.7841379310344827,0.7716639578800644,0.796110505976867,0.6894567253653053,0.23786259100135815
oversampling,random_forest,0.67317377294867,0.644857172421921,0.701490373475419,0.21178404350888072,0.17553465907701854,0.25322009756194924,0.09770114942528736,0.187836502077092,0.10936607652769846,0.09945423052029223,0.12013398185701699,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.20535031847133758,0.19300373270440885,0.2182730968029124,0.8050574712643678,0.7930178906389076,0.8165587384372639,0.701632071937055,0.24596855471045614
oversampling,xgboost,0.6861134507306108,0.6582421510408013,0.7139847504204203,0.23186251478314573,0.1941757178093511,0.27437330176271385,0.09770114942528736,0.2642433643341064,0.1132131244457582,0.10297172845109666,0.12433193136909305,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2356687898089172,0.2226536026146082,0.249200881271121,0.7777011494252873,0.7651031361147946,0.7898091230592936,0.691333083551892,0.24288790695225929
smote_nc,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
smote_nc,lr_scored,0.6666493817909329,0.6379402492224844,0.6953585143593815,0.21163538680688526,0.17539714071033402,0.2530629896272858,0.09770114942528736,0.3278071144760455,0.1092101511263188,0.09931169053506735,0.11996379309195095,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2040764331210191,0.1917602079412945,0.21697134197029533,0.8062068965517242,0.7941926416730881,0.8176808096678768,0.6695796178343949,0.23035664841487785
smote_nc,lr_penalized,0.6795000374672161,0.6507972300870914,0.7082028448473408,0.2180375126903939,0.18132633053849737,0.2598223543790324,0.09770114942528736,0.3337678264889846,0.10971068461758808,0.0997692635580876,0.1205101018699713,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.20815286624203821,0.19574016156309842,0.22113628305483196,0.8025287356321839,0.7904339914341343,0.8140896286594916,0.6853862869988759,0.23975977447210578
