technique,model,target_sensitivity,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high
smote_nc,lr_penalized,0.95,0.2924320896330676,0.10455486542443064,0.09529676917867722,0.1145984572580922,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.11847133757961784,0.10873239515050338,0.12895636592793472,0.8882758620689655,0.8785695248145569,0.8972970362326578
smote_nc,random_forest,0.8,0.1703435050775469,0.12422360248447205,0.11239081677915902,0.13710973591422135,0.8,0.7593592358943103,0.8352661081693097,0.3892993630573248,0.3741606571950332,0.4046545459359059,0.6291954022988506,0.6147334294613152,0.6434293931014643
smote_nc,random_forest,0.85,0.153339479125707,0.11919657556799473,0.10815104190551673,0.13120423809746218,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3184713375796178,0.3040799775312821,0.33321768007698976,0.6981609195402299,0.6843492630552934,0.7116228953950907
smote_nc,random_forest,0.9,0.1287380679329327,0.11149927219796216,0.10140452379566209,0.12246199289007695,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22242038216560509,0.20968499790652773,0.23569857818359463,0.7896551724137931,0.7772910257464603,0.8015081849814796
smote_nc,random_forest,0.95,0.1031254726803985,0.10603674540682415,0.09665415219969255,0.11621297077498129,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.13222929936305733,0.12199068564702631,0.14318709506531113,0.8758620689655172,0.8657303360808344,0.8853305445066113
smote_nc,xgboost,0.8,0.0383793748915195,0.1239067055393586,0.11210228328328643,0.13676267820331334,0.8,0.7593592358943103,0.8352661081693097,0.387515923566879,0.37239171700924567,0.4028600946876695,0.6308045977011494,0.6163540637206915,0.6450243100127988
smote_nc,xgboost,0.85,0.0286578647792339,0.11647361647361647,0.10566611510678274,0.12822801750000076,0.851764705882353,0.8148357311181423,0.8823916330976317,0.30038216560509556,0.28624148863164356,0.3149131987172421,0.7144827586206897,0.7008761585261616,0.7277108760842892
smote_nc,xgboost,0.9,0.0204274430871009,0.11062969381860197,0.10060945403147792,0.121513071758448,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.21554140127388535,0.20295873898296116,0.2286803272902115,0.7958620689655173,0.7836254678141779,0.8075765831436463
smote_nc,xgboost,0.95,0.0079635884612798,0.10145655449522853,0.0924593830890805,0.11122193921341186,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.08840764331210191,0.07992406862731324,0.09769609399186321,0.9154022988505747,0.9067616299017819,0.9233099365945573
smote_nc_level,lr_scored,0.8,0.3830466147485244,0.1195079086115993,0.10809819613953965,0.1319437537918465,0.8,0.7593592358943103,0.8352661081693097,0.36178343949044584,0.3468926374041134,0.37694452645902693,0.6540229885057471,0.6397567716514765,0.6680174118308406
smote_nc_level,lr_scored,0.85,0.354238625648811,0.11383647798742139,0.1032601679106549,0.12534463802408818,0.851764705882353,0.8148357311181423,0.8823916330976317,0.28203821656050954,0.26817886194783347,0.2963237992225196,0.7310344827586207,0.7176577488439914,0.7440035263794845
smote_nc_level,lr_scored,0.9,0.3269172191391758,0.10914790538614991,0.09925478889680735,0.11989585249853184,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2035668789808917,0.19126285212503555,0.2164505859482617,0.8066666666666666,0.7946625864355811,0.8181295938113012
smote_nc_level,lr_scored,0.95,0.2877711060766459,0.10308752232712427,0.09395289303750137,0.11299950800721337,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.10445859872611465,0.09527372003507442,0.11441696549031799,0.9009195402298851,0.8916841557137984,0.9094474502461436
smote_nc_level,lr_penalized,0.8,0.4078182368848315,0.13021830716200689,0.11785080614618985,0.14367229939960866,0.8,0.7593592358943103,0.8352661081693097,0.4214012738853503,0.4060377482884641,0.43691850065490695,0.6002298850574712,0.5855907544259433,0.6146921470640423
smote_nc_level,lr_penalized,0.85,0.3764640766606304,0.11806914546640573,0.10712208384521427,0.1299720686001373,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3110828025477707,0.2967907135114758,0.3257443224415538,0.7048275862068966,0.6910971616371627,0.7181965659490234
smote_nc_level,lr_penalized,0.9,0.3526902894038139,0.1129127358490566,0.10269702359088884,0.12400421324719493,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23337579617834395,0.22040772370256503,0.24686525691084757,0.7797701149425287,0.7672114990959326,0.7918350401547837
