technique,model,level,mean_probability,low,high
smote_nc,lr_scored,moderato,0.12923536200992597,0.12146781850712514,0.1379490753543903
smote_nc,lr_scored,alto,0.1544531838514232,0.1315602090369347,0.17913618203676335
smote_nc,lr_scored,molto alto,0.19270066395221966,0.1458658624481655,0.24420922070369064
smote_nc,lr_penalized,basso,0.09217075959668217,0.09028227456263142,0.09420733507352767
smote_nc,lr_penalized,moderato,0.14433794916689538,0.1343307320248158,0.1550016029743649
smote_nc,lr_penalized,alto,0.18685584749853593,0.14680825255397842,0.23363221273145954
smote_nc,lr_penalized,molto alto,0.2028751308258904,0.14926708777231854,0.259832866414597
smote_nc,random_forest,basso,0.09115717267205121,0.08923129568041996,0.09320275555212566
smote_nc,random_forest,moderato,0.13117655141731832,0.12126338259191552,0.14160045537134838
smote_nc,random_forest,alto,0.1615865220844724,0.12854317587335495,0.19694361796553875
smote_nc,random_forest,molto alto,0.17962040800668902,0.12826884506687536,0.23897356860344038
smote_nc,xgboost,basso,0.0903811473555776,0.08843112642854074,0.0923157500196451
smote_nc,xgboost,moderato,0.1317678921532861,0.12284455817206896,0.1409930933055531
smote_nc,xgboost,alto,0.17057027246990558,0.13833017656969276,0.20468790524429464
smote_nc,xgboost,molto alto,0.22602204075592458,0.17043255460872392,0.289355236581747
smote_nc_level,dummy,basso,0.0977011494252873,0.0977011494252873,0.0977011494252873
smote_nc_level,dummy,moderato,0.0977011494252873,0.0977011494252873,0.0977011494252873
smote_nc_level,dummy,alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
smote_nc_level,dummy,molto alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
smote_nc_level,lr_scored,basso,0.09375032607144983,0.09216506688061664,0.09542449669506477
smote_nc_level,lr_scored,moderato,0.12784960940622717,0.12030195871380635,0.136341752901253
smote_nc_level,lr_scored,alto,0.15174680536501403,0.12932589526141608,0.1756733085058936
smote_nc_level,lr_scored,molto alto,0.18434112940160632,0.14189823781432134,0.22991167492448703
smote_nc_level,lr_penalized,basso,0.09192218746248773,0.089910345593646,0.0940044462523971
smote_nc_level,lr_penalized,moderato,0.14461806408567177,0.13349122045428086,0.15643183624221926
smote_nc_level,lr_penalized,alto,0.1698929957960008,0.14047326765268406,0.20155797548541649
smote_nc_level,lr_penalized,molto alto,0.2063383700222019,0.1550546295930803,0.25925434218557514
smote_nc_level,random_forest,basso,0.09098542462109108,0.08907354287771217,0.09308790258174016
smote_nc_level,random_forest,moderato,0.13129778223992294,0.12143049378967022,0.1418967580697284
smote_nc_level,random_forest,alto,0.16103047146964886,0.1299353085656158,0.19363889023662254
smote_nc_level,random_forest,molto alto,0.19476888352246294,0.1383792058640887,0.2629355073341493
smote_nc_level,xgboost,basso,0.09016679384864315,0.08831955031393848,0.0921214767065037
smote_nc_level,xgboost,moderato,0.13147917731901126,0.12294026528727138,0.140708006230025
smote_nc_level,xgboost,alto,0.1654143952058565,0.133977117860347,0.20001775204537056
smote_nc_level,xgboost,molto alto,0.23279389525563354,0.17869961935932133,0.29204012188365547
