technique,model,fold,n,prevalence,auc,pr_auc
smote_nc_level,xgboost,outer1,870,0.09770114942528736,0.6897264893218433,0.20213555532825012
smote_nc_level,xgboost,outer2,870,0.09770114942528736,0.6464593480704384,0.21755479407781186
smote_nc_level,xgboost,outer3,870,0.09770114942528736,0.7185162982390408,0.2516001739853867
smote_nc_level,xgboost,outer4,870,0.09770114942528736,0.7551442487823156,0.2513145137588284
undersampling,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
undersampling,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
undersampling,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
undersampling,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
undersampling,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
undersampling,lr_penalized,outer0,870,0.09770114942528736,0.6824278756088421,0.1976887154714404
undersampling,lr_penalized,outer1,870,0.09770114942528736,0.6805994754589734,0.2289468036976047
undersampling,lr_penalized,outer2,870,0.09770114942528736,0.6506406893967778,0.17888889736104868
undersampling,lr_penalized,outer3,870,0.09770114942528736,0.7375946047208691,0.352695567969503
undersampling,lr_penalized,outer4,870,0.09770114942528736,0.7548295241663544,0.2503736621752845
undersampling,lr_scored,outer0,870,0.09770114942528736,0.6339977519670289,0.1550894286031522
undersampling,lr_scored,outer1,870,0.09770114942528736,0.6424428624953165,0.1958196657164899
undersampling,lr_scored,outer2,870,0.09770114942528736,0.6467515923566879,0.22590598809048673
undersampling,lr_scored,outer3,870,0.09770114942528736,0.7294642188085425,0.35700099746925296
undersampling,lr_scored,outer4,870,0.09770114942528736,0.7351517422255526,0.28613193620532057
undersampling,random_forest,outer0,870,0.09770114942528736,0.6638141626077183,0.18632992441585708
undersampling,random_forest,outer1,870,0.09770114942528736,0.6891569876358187,0.20853746066772857
undersampling,random_forest,outer2,870,0.09770114942528736,0.6563057324840764,0.19602385815667123
undersampling,random_forest,outer3,870,0.09770114942528736,0.7384038965904833,0.3074413758926034
undersampling,random_forest,outer4,870,0.09770114942528736,0.7756912701386287,0.2933525768005624
undersampling,xgboost,outer0,870,0.09770114942528736,0.6484226301985764,0.1822063668788445
undersampling,xgboost,outer1,870,0.09770114942528736,0.685949793930311,0.18842210221068423
undersampling,xgboost,outer2,870,0.09770114942528736,0.6407793180966653,0.20647830123329375
undersampling,xgboost,outer3,870,0.09770114942528736,0.7007868115399025,0.24655328994325496
undersampling,xgboost,outer4,870,0.09770114942528736,0.7383814162607718,0.24551572404506186
