technique,metric,model_a,model_b,difference,low,high,t,p_value,p_holm
smote_nc_level,auc,lr_scored,xgboost,-0.021345822405395266,-0.0708067482352812,0.028115103424490667,-1.1982287662328974,0.29696786630887256,1.0
smote_nc_level,auc,random_forest,xgboost,-0.013650056200824268,-0.033580872268920356,0.006280759867271817,-1.901509280652031,0.13001233088152553,0.7800739852891532
undersampling,auc,dummy,lr_penalized,-0.20121843387036337,-0.28204791470220614,-0.12038895303852058,-6.911734803260637,0.0022988080225011644,0.022988080225011642
undersampling,auc,dummy,lr_scored,-0.17756163357062565,-0.2711087164354306,-0.08401455070582071,-5.269967948766093,0.006212279028890379,0.043485953202232655
undersampling,auc,dummy,random_forest,-0.2046744098913451,-0.2997846598683648,-0.10956415991432546,-5.97482672624008,0.003942808513320094,0.03154246810656075
undersampling,auc,dummy,xgboost,-0.1828639940052454,-0.2571905436813737,-0.1085374443291171,-6.830827521055316,0.002402269690139798,0.022988080225011642
undersampling,auc,lr_penalized,lr_scored,0.02365680029973769,-0.012067532673188733,0.059381133272664116,1.8385733736897247,0.13982961419797105,0.5593184567918842
undersampling,auc,lr_penalized,random_forest,-0.0034559760209817323,-0.03025169801436813,0.023339745972404662,-0.3580917770942673,0.7383723737660498,1.0
undersampling,auc,lr_penalized,xgboost,0.018354439865117957,-0.014214697062771016,0.05092357679300693,1.5646743981882074,0.19270898675689993,0.5781269602706998
undersampling,auc,lr_scored,random_forest,-0.02711277632071942,-0.059511205873798725,0.005285653232359883,-2.3234809878872467,0.08082751895074745,0.4849651137044847
undersampling,auc,lr_scored,xgboost,-0.005302360434619735,-0.054832565769512336,0.044227844900272865,-0.29722696635629303,0.7810896694759127,1.0
undersampling,auc,random_forest,xgboost,0.021810415886099686,-0.00638739805224265,0.05000822982444202,2.1475218810117993,0.098254451669122,0.49127225834561
class_weight,pr_auc,dummy,lr_penalized,-0.15242713324800228,-0.2770058652043883,-0.027848401291616268,-3.3970932386268675,0.02735048747186864,0.21880389977494913
class_weight,pr_auc,dummy,lr_scored,-0.14420481931294077,-0.29205288052277856,0.0036432418968969926,-2.7080285088020193,0.05364657933664622,0.3755260553565235
class_weight,pr_auc,dummy,random_forest,-0.14921038517776025,-0.25184114638456306,-0.04657962397095744,-4.0365523815681295,0.015648526784370693,0.14083674105933625
class_weight,pr_auc,dummy,xgboost,-0.14979833516983254,-0.24002190631051512,-0.05957476402914995,-4.60973611652492,0.009957629258015233,0.09957629258015233
class_weight,pr_auc,lr_penalized,lr_scored,0.00822231393506152,-0.05443563103221463,0.07088025890233768,0.3643401214374932,0.7340474842204169,1.0
class_weight,pr_auc,lr_penalized,random_forest,0.0032167480702420593,-0.04775771365252308,0.0541912097930072,0.17520782235723703,0.8694278057402052,1.0
class_weight,pr_auc,lr_penalized,xgboost,0.002628798078169742,-0.05153462229261591,0.0567922184489554,0.13475355704501413,0.8993153506891788,1.0
class_weight,pr_auc,lr_scored,random_forest,-0.005005565864819461,-0.06379038228443959,0.05377925055480067,-0.23641613073890003,0.8247227296024172,1.0
class_weight,pr_auc,lr_scored,xgboost,-0.005593515856891778,-0.0743572259624486,0.06317019424866506,-0.22584717575409624,0.832390807539717,1.0
class_weight,pr_auc,random_forest,xgboost,-0.0005879499920723175,-0.021683069531522447,0.020507169547377812,-0.07738334331490676,0.9420347828734463,1.0
ctgan,pr_auc,dummy,lr_penalized,-0.059973633427022645,-0.1290889637327956,0.009141696878750306,-2.4092122577250494,0.07361757934840772,0.5889406347872618
ctgan,pr_auc,dummy,lr_scored,-0.0520780625559097,-0.13059110610014524,0.026434980988325835,-1.841628796240392,0.13933500335680996,0.8186967198924677
ctgan,pr_auc,dummy,random_forest,-0.07133723011887455,-0.1538056961386427,0.011131235900893613,-2.4016925855567726,0.07421996750112299,0.5889406347872618
ctgan,pr_auc,dummy,xgboost,-0.12452929886511366,-0.2116466942425524,-0.03741190348767491,-3.9687683589458915,0.016555728745897197,0.16555728745897197
ctgan,pr_auc,lr_penalized,lr_scored,0.007895570871112945,-0.05230625976503801,0.0680974015072639,0.36413542356102324,0.7341889814645354,1.0
