group,model,predicted,observed,low,high
diabetici,lr_penalized,0.25338912985817996,0.32500798725448615,0.24929008170099887,0.41112900548603404
diabetici,lr_penalized,0.25716862976014443,0.3289509930717666,0.2517865609305123,0.41659666761987396
diabetici,lr_penalized,0.26094812966210895,0.3327708331962786,0.25415218487063357,0.4219507030427274
diabetici,lr_penalized,0.2647276295640734,0.3364706074114353,0.25640524356670513,0.42717470971656596
diabetici,lr_penalized,0.26850712946603794,0.3400537860596136,0.2585615257447689,0.432256500196581
diabetici,lr_penalized,0.2722866293680024,0.34352380288466117,0.2606345492358526,0.4371868591260739
diabetici,lr_penalized,0.27606612926996693,0.3468840475043506,0.2626358356870984,0.4419591375849717
diabetici,lr_penalized,0.2798456291719314,0.35013785918180046,0.2645751665296357,0.446568882347815
diabetici,lr_penalized,0.2836251290738959,0.35328852173919006,0.2664608147138818,0.4510135041226064
diabetici,lr_penalized,0.2874046289758604,0.35633925947357786,0.2682997504013608,0.4552919851848488
diabetici,lr_penalized,0.2911841288778249,0.3592932339496448,0.270097821034527,0.45940462463899573
diabetici,lr_penalized,0.2949636287797894,0.3621535415578075,0.27185990745431815,0.4633528183613817
diabetici,lr_penalized,0.2987431286817539,0.3649232117384728,0.2735900583420062,0.46713887015461425
diabetici,lr_penalized,0.30252262858371837,0.3676052057843234,0.2752916054692822,0.47076583052573123
diabetici,lr_penalized,0.3063021284856829,0.37020241614253163,0.27696726221162554,0.4742373596218534
diabetici,lr_penalized,0.31008162838764736,0.37271766614778506,0.27861920762232956,0.4775576111068003
diabetici,lr_penalized,0.3138611282896119,0.37515371012505944,0.28024915814524265,0.4807311340709154
diabetici,lr_penalized,0.31764062819157635,0.37751323380827834,0.28185842880478607,0.4837627903910482
diabetici,lr_penalized,0.32142012809354087,0.3797988550274343,0.2834479854755808,0.4866576852739072
diabetici,lr_penalized,0.32519962799550534,0.38201312462247977,0.28501848961408993,0.48942110901010694
diabetici,lr_penalized,0.32897912789746986,0.38415852754741087,0.2865703366365105,0.4920584882326299
diabetici,lr_penalized,0.3327586277994343,0.3862374841325058,0.28810368895301575,0.4945753452096207
diabetici,lr_penalized,0.33653812770139885,0.3882523514767199,0.2896185045173737,0.49697726390873226
diabetici,lr_penalized,0.3403176276033633,0.3902054249458191,0.2911145616215091,0.4992698617502112
diabetici,lr_penalized,0.34409712750532784,0.392098939755011,0.2925914805543346,0.5014587661213666
diabetici,lr_penalized,0.3478766274072923,0.39393507261763644,0.29404874265066583,0.5035495948588303
diabetici,lr_penalized,0.3516561273092568,0.39571594344398187,0.2954857071769128,0.505547940019863
diabetici,lr_penalized,0.3554356272112213,0.39744361707645937,0.29690162643340473,0.5074593543623337
diabetici,lr_penalized,0.3592151271131858,0.39912010504934436,0.2982956593964283,0.5092893400376072
diabetici,lr_penalized,0.3629946270151503,0.40074736736297395,0.2996668841749705,0.5110433390730676
diabetici,lr_penalized,0.3667741269171148,0.40232731426381335,0.30101430951585506,0.512726725283735
