setting,population,model,target_sensitivity,threshold,screened,detected
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.74,0.0622904749789771,0.6170785417176413,0.7422360248447205
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.75,0.0618604508619553,0.6251529239050648,0.7515527950310559
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.76,0.0612031555945763,0.6339613408367996,0.7608695652173914
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.77,0.0601433270981782,0.6491313922192317,0.7701863354037267
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.78,0.0586362056349946,0.6669929043308049,0.782608695652174
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.79,0.0570600846255486,0.6904820161487644,0.7919254658385093
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.8,0.0559690964988481,0.7039393197944702,0.8012422360248447
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.81,0.0553414067261966,0.7161732321996575,0.8105590062111802
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.82,0.0546081558154296,0.7262050403719109,0.8229813664596274
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.83,0.0537000280500251,0.7386836310252018,0.8322981366459627
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.84,0.0529930848307209,0.7484707609493516,0.8416149068322981
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.85,0.0517305211767022,0.769023733790066,0.8509316770186336
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.86,0.0514384135305002,0.7731832640078297,0.860248447204969
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.87,0.0506278359823902,0.7849278199168094,0.8726708074534162
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.88,0.049618867915529,0.7998531930511378,0.8819875776397516
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.89,0.0494749466168269,0.8027893320283827,0.8913043478260869
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.9,0.048846613244284,0.8118424272082212,0.9006211180124224
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.91,0.0477159789446625,0.8323954000489356,0.9130434782608695
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.92,0.0450057754971543,0.8646929287986298,0.922360248447205
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.93,0.0442567566366158,0.8744800587227796,0.9316770186335404
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.94,0.0440218230009525,0.8781502324443357,0.9409937888198758
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.95,0.0424730682384354,0.8974798140445315,0.9503105590062112
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.96,0.038117489752911,0.9425006116956203,0.9627329192546584
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.97,0.0367295134136269,0.9557132370932224,0.9720496894409938
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.98,0.0348979262715379,0.9689258624908246,0.9813664596273292
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.99,0.0308059312083546,0.9902128700758502,0.9906832298136646
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,1.0,0.0270277560354757,0.9987766087594813,1.0
tesi,"tutti, bersaglio composito",lr_penalized,0.01,0.7104846945699956,0.0022988505747126436,0.011764705882352941
tesi,"tutti, bersaglio composito",lr_penalized,0.02,0.6163470338998007,0.0036781609195402297,0.021176470588235293
tesi,"tutti, bersaglio composito",lr_penalized,0.03,0.5452997857320222,0.005747126436781609,0.03058823529411765
tesi,"tutti, bersaglio composito",lr_penalized,0.04,0.4321221261802664,0.011264367816091954,0.04
tesi,"tutti, bersaglio composito",lr_penalized,0.05,0.4002419930675553,0.014022988505747127,0.05176470588235294
tesi,"tutti, bersaglio composito",lr_penalized,0.06,0.381101864145684,0.015862068965517243,0.0611764705882353
tesi,"tutti, bersaglio composito",lr_penalized,0.07,0.3550176275324013,0.018620689655172412,0.07058823529411765
tesi,"tutti, bersaglio composito",lr_penalized,0.08,0.3499080819592177,0.019770114942528734,0.08
tesi,"tutti, bersaglio composito",lr_penalized,0.09,0.3343381722749347,0.022758620689655173,0.09176470588235294
tesi,"tutti, bersaglio composito",lr_penalized,0.1,0.3258508207006975,0.02482758620689655,0.1011764705882353
tesi,"tutti, bersaglio composito",lr_penalized,0.11,0.3107178937112673,0.02666666666666667,0.11058823529411765
