group,model,threshold,n,positives,tests_per_100,found_per_100,missed_per_100,tests_per_case,tests_per_case_all,extra_tests_per_100_all,extra_cases_per_100_all,cost_per_case,cost_per_case_all,saving_per_100,incremental_cost_per_case,cost_per_case_low,cost_per_case_all_low,saving_per_100_low,incremental_cost_per_case_low,cost_per_case_high,cost_per_case_all_high,saving_per_100_high,incremental_cost_per_case_high
tutti,random_forest,0.07,4350,425,63.54022988505747,8.137931034482758,1.632183908045977,7.807909604519774,10.235294117647058,36.45977011494253,1.632183908045977,382.58757062146896,501.52941176470586,1786.528735632184,1094.5633802816901,281.08474576271186,368.4705882352941,1312.5517241379312,804.169014084507,499.70621468926555,655.0588235294117,2333.425287356322,1429.6338028169014
tutti,random_forest,0.075,4350,425,57.10344827586207,7.908045977011494,1.8620689655172413,7.22093023255814,10.235294117647058,42.89655172413793,1.8620689655172413,353.8255813953489,501.52941176470586,2101.9310344827586,1128.8148148148148,259.95348837209303,368.4705882352941,1544.2758620689654,829.3333333333334,462.13953488372096,655.0588235294117,2745.3793103448274,1474.3703703703704
tutti,random_forest,0.08,4350,425,52.04597701149425,7.563218390804598,2.206896551724138,6.88145896656535,10.235294117647058,47.95402298850575,2.206896551724138,337.19148936170217,501.52941176470586,2349.747126436782,1064.7291666666667,247.73252279635258,368.4705882352941,1726.344827586207,782.25,440.4133738601824,655.0588235294117,3069.057471264368,1390.6666666666667
tutti,random_forest,0.085,4350,425,46.71264367816092,7.103448275862069,2.6666666666666665,6.576051779935275,10.235294117647058,53.28735632183908,2.6666666666666665,322.2265372168285,501.52941176470586,2611.080459770115,979.1551724137931,236.7378640776699,368.4705882352941,1918.3448275862067,719.3793103448276,420.8673139158576,655.0588235294117,3410.390804597701,1278.896551724138
tutti,random_forest,0.09,4350,425,42.55172413793103,6.620689655172414,3.1494252873563218,6.427083333333333,10.235294117647058,57.44827586206897,3.1494252873563218,314.9270833333333,501.52941176470586,2814.9655172413795,893.8029197080292,231.375,368.4705882352941,2068.137931034483,656.6715328467153,411.3333333333333,655.0588235294117,3676.689655172414,1167.4160583941605
tutti,random_forest,0.095,4350,425,38.87356321839081,6.390804597701149,3.3793103448275863,6.08273381294964,10.235294117647058,61.12643678160919,3.3793103448275863,298.05395683453236,501.52941176470586,2995.1954022988507,886.3333333333334,218.97841726618705,368.4705882352941,2200.551724137931,651.1836734693877,389.294964028777,655.0588235294117,3912.0919540229884,1157.6598639455783
tutti,random_forest,0.1,4350,425,35.44827586206897,6.091954022988506,3.67816091954023,5.818867924528302,10.235294117647058,64.55172413793103,3.67816091954023,285.1245283018868,501.52941176470586,3163.0344827586205,859.95,209.47924528301888,368.4705882352941,2323.862068965517,631.8,372.4075471698113,655.0588235294117,4131.310344827586,1123.2
tutti,random_forest,0.105,4350,425,32.50574712643678,5.7701149425287355,4.0,5.633466135458168,10.235294117647058,67.49425287356321,4.0,276.0398406374502,501.52941176470586,3307.218390804597,826.8045977011494,202.80478087649402,368.4705882352941,2429.793103448276,607.448275862069,360.54183266932273,655.0588235294117,4319.632183908046,1079.9080459770114
tutti,random_forest,0.11,4350,425,29.655172413793103,5.494252873563219,4.275862068965517,5.397489539748954,10.235294117647058,70.34482758620689,4.275862068965517,264.4769874476988,501.52941176470586,3446.8965517241377,806.1290322580645,194.30962343096235,368.4705882352941,2532.413793103448,592.258064516129,345.43933054393307,655.0588235294117,4502.068965517241,1052.9032258064517
tutti,random_forest,0.115,4350,425,27.080459770114942,5.333333333333333,4.436781609195402,5.077586206896552,10.235294117647058,72.91954022988506,4.436781609195402,248.80172413793102,501.52941176470586,3573.057471264368,805.3264248704663,182.79310344827587,368.4705882352941,2625.1034482758623,591.6683937823834,324.9655172413793,655.0588235294117,4666.850574712644,1051.8549222797928
tutti,random_forest,0.12,4350,425,24.436781609195403,4.942528735632184,4.827586206896552,4.944186046511628,10.235294117647058,75.5632183908046,4.827586206896552,242.26511627906976,501.52941176470586,3702.597701149425,766.9666666666667,177.99069767441858,368.4705882352941,2720.2758620689656,563.4857142857143,316.42790697674417,655.0588235294117,4836.045977011494,1001.7523809523809
tutti,random_forest,0.125,4350,425,22.32183908045977,4.712643678160919,5.057471264367816,4.736585365853658,10.235294117647058,77.67816091954023,5.057471264367816,232.09268292682927,501.52941176470586,3806.2298850574716,752.5954545454546,170.5170731707317,368.4705882352941,2796.4137931034484,552.9272727272727,303.14146341463413,655.0588235294117,4971.402298850575,982.9818181818182
tutti,random_forest,0.13,4350,425,20.413793103448278,4.574712643678161,5.195402298850575,4.4623115577889445,10.235294117647058,79.58620689655173,5.195402298850575,218.65326633165827,501.52941176470586,3899.724137931035,750.6106194690266,160.643216080402,368.4705882352941,2865.1034482758623,551.4690265486726,285.58793969849245,655.0588235294117,5093.517241379311,980.3893805309734
