model,fold,fraction,draw,n_train,positives,auc,pr_auc
xgboost,3,1.0,0,3480,340,0.7500936680404646,0.3239803713637662
xgboost,4,0.2,0,696,68,0.6634095166729113,0.20056417369424
xgboost,4,0.2,1,696,68,0.6749793930310977,0.18358333775965008
xgboost,4,0.2,2,696,68,0.7221431247658299,0.229484078012321
xgboost,4,0.4,0,1392,136,0.6832671412514051,0.2082909094055056
xgboost,4,0.4,1,1392,136,0.7268789808917197,0.2162144212050307
xgboost,4,0.4,2,1392,136,0.7520269763956539,0.2268479621354451
xgboost,4,0.6,0,2088,204,0.752761333832896,0.25812473105477507
xgboost,4,0.6,1,2088,204,0.748190333458224,0.2955473476456008
xgboost,4,0.6,2,2088,204,0.7697714499812665,0.24994294228653952
xgboost,4,0.8,0,2784,272,0.7771300112401649,0.29188391748594406
xgboost,4,0.8,1,2784,272,0.7557587111277633,0.295746088551449
xgboost,4,0.8,2,2784,272,0.7273585612588983,0.2553946552219254
xgboost,4,1.0,0,3480,340,0.7636118396403149,0.2934372923565986
